file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V350_Case1_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case1_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2387,0.20953008130583914,0.2741898018704472,299,500.148304077038,179.45477326256542
V350_Case1_CutFre20.xls,train,bursty,0.8,0,uplift,m,2387,2.5538550753296645e-05,3.20903720021243e-05,299,0.06096052064811909,2.458113444885284e-06
V350_Case1_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,4773,0.20291153050741784,0.26952586984546095,597,968.4967351119053,346.73074042464054
V350_Case1_CutFre20.xls,train,bursty,0.6,0,uplift,m,4773,2.506955691333156e-05,3.223048381634286e-05,597,0.11965699514733152,4.958211907420628e-06
V350_Case2_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case2_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case2_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2148,0.03077985511480434,0.05497972244873088,1699,66.11512878659973,6.492909703398808
V350_Case2_CutFre20.xls,train,random,0.8,0,uplift,m,2148,3.4974517744223003e-06,5.497096861251512e-06,1699,0.0075125264114591014,6.490842274145567e-08
V350_Case2_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,4296,0.05080002943315262,0.09469794433200925,2560,218.23692644482367,38.52524203840295
V350_Case2_CutFre20.xls,train,random,0.6,0,uplift,m,4296,6.06980835372605e-06,1.0792635387021268e-05,2560,0.02607589668760711,5.004022840535013e-07
V350_Case2_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case2_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case2_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2148,0.27127205133807786,0.364720544521264,269,582.6923662741913,285.729270379966
V350_Case2_CutFre20.xls,train,bursty,0.8,0,uplift,m,2148,3.1050672369898936e-05,4.0204798761674164e-05,269,0.06669684425054291,3.472082711766507e-06
V350_Case2_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,4296,0.2674592050403063,0.3520959482324141,537,1149.004744853156,532.5818078481893
V350_Case2_CutFre20.xls,train,bursty,0.6,0,uplift,m,4296,3.145816487462826e-05,3.9241342385235e-05,537,0.13514427630140302,6.615337162630753e-06
V350_Case3_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case3_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case3_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2625,0.02310533734979728,0.03476608994251877,2071,60.65151054321787,3.172787650964676
V350_Case3_CutFre20.xls,train,random,0.8,0,uplift,m,2625,3.3137102505801585e-06,4.9603498103505656e-06,2071,0.008698489407772916,6.458830938274284e-08
V350_Case3_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,5250,0.04279712698780245,0.07618798126456482,3104,224.68491668596286,30.474194568140817
V350_Case3_CutFre20.xls,train,random,0.6,0,uplift,m,5250,6.1358747555145285e-06,1.119092291264757e-05,3104,0.03221334246645127,6.574929670933069e-07
V350_Case3_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case3_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case3_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2625,0.21626239328084781,0.28099482975846474,329,567.6887823622255,207.26499767134504
V350_Case3_CutFre20.xls,train,bursty,0.8,0,uplift,m,2625,3.0389951304399445e-05,3.895980966078473e-05,329,0.07977362217404854,3.984400268112011e-06
V350_Case3_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,5250,0.21422114065871245,0.28532338608740543,657,1124.6609884582404,427.3995319040088
V350_Case3_CutFre20.xls,train,bursty,0.6,0,uplift,m,5250,3.0404054894686502e-05,3.979718338063363e-05,657,0.15962128819710414,8.315032976416852e-06
V350_Case4_CutFre20.xls,train,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case4_CutFre20.xls,train,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case4_CutFre20.xls,train,random,0.8,0,acceleration,m/s^2,2625,0.02183180294485193,0.030614086716495275,2135,57.308482730236314,2.4602085518983676
V350_Case4_CutFre20.xls,train,random,0.8,0,uplift,m,2625,2.8568466292548387e-06,3.993997525881524e-06,2135,0.007499222401793952,4.187404262146281e-08
V350_Case4_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,5250,0.040682667091274084,0.07278560478632166,3160,213.58400222918894,27.813157386580706
V350_Case4_CutFre20.xls,train,random,0.6,0,uplift,m,5250,5.491717282979688e-06,9.842278498667e-06,3160,0.02883151573564336,5.085698417379445e-07
V350_Case4_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case4_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case4_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,2625,0.21041036145310743,0.2735181346341521,329,552.327198814407,196.38194618108363
V350_Case4_CutFre20.xls,train,bursty,0.8,0,uplift,m,2625,2.806189389957733e-05,3.566306561703431e-05,329,0.07366247148639049,3.3386174041628486e-06
V350_Case4_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,5250,0.21294441360948335,0.2732667168524449,657,1117.9581714497876,392.04216733140004
V350_Case4_CutFre20.xls,train,bursty,0.6,0,uplift,m,5250,2.8565723958926457e-05,3.6489122444790976e-05,657,0.1499700507843639,6.990144298152478e-06
V350_Case5_CutFre20.xls,validation,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case5_CutFre20.xls,validation,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case5_CutFre20.xls,validation,random,0.8,0,acceleration,m/s^2,2625,0.022828794131644067,0.035020948633187436,2080,59.925584595565674,3.219475463316927
V350_Case5_CutFre20.xls,validation,random,0.8,0,uplift,m,2625,3.145888421952823e-06,4.868106670743023e-06,2080,0.008257957107626161,6.220846421404839e-08
V350_Case5_CutFre20.xls,validation,random,0.6,0,acceleration,m/s^2,5250,0.041041403741424815,0.07628549442178371,3111,215.46736964248026,30.552252460673966
V350_Case5_CutFre20.xls,validation,random,0.6,0,uplift,m,5250,5.607285332427829e-06,9.849559274767914e-06,3111,0.0294382479952461,5.093225440126248e-07
V350_Case5_CutFre20.xls,validation,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case5_CutFre20.xls,validation,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case5_CutFre20.xls,validation,bursty,0.8,0,acceleration,m/s^2,2625,0.204295381087726,0.2763858169803272,329,536.2753753552807,200.5214395481927
V350_Case5_CutFre20.xls,validation,bursty,0.8,0,uplift,m,2625,2.796459035609467e-05,3.6483917322143596e-05,329,0.07340704968474851,3.49407508581865e-06
V350_Case5_CutFre20.xls,validation,bursty,0.6,0,acceleration,m/s^2,5250,0.20316366899668703,0.2770831842075304,657,1066.6092622326069,403.0692275955672
V350_Case5_CutFre20.xls,validation,bursty,0.6,0,uplift,m,5250,2.7689707104086057e-05,3.628732807165773e-05,657,0.1453709622964518,6.913043437545624e-06
V350_Case6_CutFre20.xls,validation,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V350_Case6_CutFre20.xls,validation,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V350_Case6_CutFre20.xls,validation,random,0.8,0,acceleration,m/s^2,2387,0.02647006270181599,0.03876974433640302,1904,63.184039669234764,3.587883172197298
V350_Case6_CutFre20.xls,validation,random,0.8,0,uplift,m,2387,3.007398314511874e-06,4.587049411198123e-06,1904,0.007178659776739843,5.022492023194525e-08
