file,split,speed_kmh,case,cutoff,rows,distance_first_m,distance_last_m,raw_columns_exact,strictly_increasing,intervals,mean_m,std_m,min_m,max_m,median_m
V350_Case8_CutFre20.xls,test,350,8,20,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre200.xls,test,350,8,200,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V350_Case8_CutFre50.xls,test,350,8,50,14915,50.09722222222222,1500.06944444396,True,True,14914,0.09722222222218975,2.640481957210906e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
V380_Case1_CutFre100.xls,train,380,1,100,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case1_CutFre150.xls,train,380,1,150,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case1_CutFre20.xls,train,380,1,20,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case1_CutFre200.xls,train,380,1,200,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case1_CutFre50.xls,train,380,1,50,13737,50.105555555555554,1500.0166666671814,True,True,13736,0.10555555555559303,2.6483176163582117e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre100.xls,train,380,2,100,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre150.xls,train,380,2,150,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,2,20,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre200.xls,train,380,2,200,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre50.xls,train,380,2,50,12364,45.105555555555554,1350.0888888893246,True,True,12363,0.10555555555559079,2.7247399754260878e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre100.xls,train,380,3,100,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre150.xls,train,380,3,150,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,3,20,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre200.xls,train,380,3,200,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre50.xls,train,380,3,50,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre100.xls,train,380,4,100,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre150.xls,train,380,4,150,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,4,20,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre200.xls,train,380,4,200,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case4_CutFre50.xls,train,380,4,50,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre100.xls,validation,380,5,100,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre150.xls,validation,380,5,150,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case5_CutFre20.xls,validation,380,5,20,15111,55.105555555555554,1650.0500000005936,True,True,15110,0.10555555555559486,2.5712224068555902e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
