file,split,speed_kmh,pattern,retention,seed,source_row_first,source_row_last,retained_rows,longest_missing_run_samples,intervals,mean_m,std_m,min_m,max_m,median_m
V380_Case1_CutFre20.xls,train,380,bursty,0.8,0,1373,12363,8793,8,8792,0.13194444444449452,0.14687535440938845,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case1_CutFre20.xls,train,380,bursty,0.6,0,1373,12363,6595,8,6594,0.1759259259259927,0.23333418922190052,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,random,1.0,0,1236,11127,9892,0,9891,0.10555555555559282,2.6564278596740116e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,random,0.8,0,1236,11127,7914,5,7913,0.13194110956658264,0.059063995426553946,0.10555555555555429,0.6333333333336668,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,random,0.6,0,1236,11127,5935,9,5934,0.17594371418947902,0.11156025277837586,0.10555555555555429,1.0555555555561114,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,bursty,1.0,0,1236,11127,9892,0,9891,0.10555555555559282,2.6564278596740116e-14,0.10555555555555429,0.10555555555561114,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,bursty,0.8,0,1236,11127,7914,8,7913,0.13194110956658264,0.14686061528869768,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case2_CutFre20.xls,train,380,bursty,0.6,0,1236,11127,5935,8,5934,0.17594371418947902,0.2333585907711247,0.10555555555555429,0.9500000000005002,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,random,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,random,0.8,0,1511,13599,9671,6,9670,0.13194990233258191,0.05878726295519389,0.10555555555549745,0.738888888889278,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,random,0.6,0,1511,13599,7253,9,7252,0.17594533308826077,0.11194904178341555,0.10555555555549745,1.0555555555561114,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,bursty,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,bursty,0.8,0,1511,13599,9671,8,9670,0.13194990233258191,0.14689476270097207,0.10555555555549745,0.9500000000005002,0.10555555555561114
V380_Case3_CutFre20.xls,train,380,bursty,0.6,0,1511,13599,7253,8,7252,0.17594533308826077,0.2333687069778876,0.10555555555549745,0.9500000000005002,0.10555555555561114
V380_Case4_CutFre20.xls,train,380,random,1.0,0,1511,13599,12089,0,12088,0.10555555555559787,2.4051606644670644e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
